time(ms),accel_x(m/s^2),accel_y(m/s^2),accel_z(m/s^2),gyro_x(rad/s),gyro_y(rad/s),gyro_z(rad/s),mag_x(uT),mag_y(uT),mag_z(uT),orientation_x(degrees),orientation_y(degrees),orientation_z(degrees)
10584,0.44,-5.06,8.33,-1.56,2.06,-0.19,-4.5,37.19,4.5,359.88,2.88,31.5
10604,0.49,-5.07,8.32,-1.06,0.75,-0.06,-5.19,37.88,3.25,359.88,2.88,31.5
10622,0.51,-5.05,8.32,-0.88,0.31,-0.12,-5.19,37.88,3.25,359.88,2.88,31.5
10642,0.52,-5.05,8.41,-1.06,0.88,-0.06,-4.5,37.88,4.5,359.94,2.81,31.5
10659,0.52,-5.05,8.38,-2.06,1.94,0.0,-4.5,37.88,4.5,359.94,2.81,31.56
10678,0.52,-5.08,8.35,-2.81,2.69,0.0,-4.5,37.88,4.5,359.94,2.81,31.56
10696,0.5,-5.11,8.33,-3.06,2.81,0.19,-4.5,37.19,4.88,359.94,2.75,31.62
10717,0.49,-5.13,8.26,-3.06,3.31,0.06,-4.5,37.19,4.88,359.94,2.69,31.69
10735,0.49,-5.15,8.29,-2.44,2.38,0.12,-4.5,37.19,4.88,0.0,2.63,31.75
10755,0.47,-5.15,8.3,-1.56,1.37,0.06,-4.19,37.88,5.19,0.0,2.63,31.81
10776,0.43,-5.16,8.27,-0.81,0.75,-0.06,-4.19,37.88,5.19,0.0,2.63,31.81
10797,0.45,-5.17,8.29,-0.44,0.5,0.12,-4.19,37.5,5.56,0.0,2.63,31.81
10817,0.44,-5.15,8.22,0.37,-0.12,0.06,-4.19,37.5,5.56,0.0,2.63,31.81
10835,0.42,-5.13,8.28,1.19,-1.0,0.0,-4.19,37.5,5.56,0.0,2.63,31.81
10856,0.47,-5.1,8.34,1.44,-1.44,-0.12,-4.19,38.25,4.0,0.0,2.63,31.75
10876,0.49,-5.09,8.32,1.25,-1.5,0.0,-4.19,38.25,4.0,0.0,2.69,31.75
10897,0.49,-5.09,8.38,0.56,-0.56,0.06,-4.19,37.88,5.19,0.0,2.69,31.75
10917,0.45,-5.07,8.36,0.12,-0.19,0.0,-4.19,37.88,5.19,0.0,2.69,31.75
10936,0.46,-5.06,8.35,0.19,0.25,-0.12,-4.19,37.88,5.19,0.0,2.69,31.75
10956,0.48,-5.11,8.32,-0.19,0.12,-0.12,-4.56,37.19,4.0,0.0,2.69,31.75
10977,0.48,-5.14,8.32,-0.25,0.19,0.0,-4.56,37.19,4.0,0.0,2.69,31.75
10997,0.44,-5.12,8.33,-0.31,0.44,-0.12,-4.88,37.5,4.38,0.0,2.69,31.75
11017,0.49,-5.13,8.33,-0.37,0.25,-0.06,-4.88,37.5,4.38,0.0,2.69,31.75
11036,0.43,-5.12,8.33,-0.5,0.5,0.0,-4.56,37.19,3.19,0.0,2.69,31.75
11057,0.46,-5.15,8.3,-0.44,0.81,0.0,-4.56,37.19,3.19,0.0,2.69,31.75
11077,0.48,-5.13,8.3,0.25,-0.19,-0.12,-4.56,37.19,3.19,0.0,2.69,31.75
11098,0.45,-5.11,8.32,0.0,0.0,0.06,-4.56,36.75,5.19,0.0,2.69,31.75
11117,0.46,-5.12,8.3,-0.06,0.19,0.0,-4.56,36.75,5.19,0.0,2.69,31.75
11137,0.47,-5.11,8.3,-0.12,0.12,-0.06,-4.19,37.5,4.38,0.0,2.69,31.75
11157,0.46,-5.14,8.3,-0.12,0.19,-0.06,-4.19,37.5,4.38,0.0,2.69,31.75
11176,0.47,-5.1,8.29,0.12,0.06,-0.06,-4.19,37.5,4.38,0.0,2.69,31.75
11197,0.46,-5.13,8.32,0.25,-0.25,0.0,-4.88,37.5,4.75,0.0,2.69,31.75
11217,0.46,-5.11,8.32,0.31,-0.31,0.0,-4.88,37.5,4.75,0.0,2.69,31.75
11237,0.46,-5.13,8.35,0.25,-0.37,0.0,-4.19,37.5,4.0,0.0,2.69,31.75
11257,0.47,-5.12,8.32,0.06,-0.25,-0.19,-4.19,37.5,4.0,0.0,2.69,31.75
11277,0.46,-5.08,8.32,0.0,-0.06,-0.06,-4.19,37.5,4.0,0.0,2.69,31.75
11297,0.46,-5.11,8.35,-0.06,-0.06,0.12,-4.56,38.69,4.75,0.0,2.69,31.75
11317,0.46,-5.1,8.3,-0.19,0.19,0.06,-4.56,38.69,4.75,0.0,2.69,31.75
11336,0.47,-5.11,8.34,0.0,0.0,0.0,-4.56,38.69,4.75,0.0,2.69,31.75
11357,0.45,-5.14,8.29,-0.12,0.0,-0.06,-5.25,39.0,5.19,0.0,2.69,31.75
11377,0.47,-5.09,8.27,-0.25,0.06,-0.12,-5.25,39.0,5.19,0.0,2.69,31.75
11397,0.47,-5.11,8.38,0.0,-0.12,0.06,-5.25,36.38,4.75,0.0,2.69,31.75
11417,0.49,-5.11,8.31,0.0,-0.19,0.0,-5.25,36.38,4.75,0.0,2.69,31.75
11437,0.47,-5.1,8.34,-0.31,0.5,-0.25,-4.88,37.5,4.0,0.0,2.69,31.75
11457,0.49,-5.12,8.3,-0.69,0.69,0.0,-4.88,37.5,4.0,0.0,2.69,31.75
11478,0.47,-5.12,8.31,-0.81,0.94,0.0,-4.88,37.5,4.0,0.0,2.63,31.75
11498,0.46,-5.16,8.27,-0.81,0.63,0.06,-3.38,38.25,3.56,0.0,2.63,31.75
11517,0.46,-5.15,8.25,-0.19,0.37,0.0,-3.38,38.25,3.56,0.0,2.63,31.75
11537,0.44,-5.14,8.28,0.12,-0.06,0.12,-3.75,37.88,4.0,0.0,2.63,31.75
11557,0.46,-5.1,8.31,1.19,-1.25,-0.06,-3.75,37.88,4.0,0.0,2.63,31.75
11577,0.49,-5.09,8.32,1.25,-1.37,-0.12,-3.75,37.88,4.0,0.0,2.69,31.75
11597,0.49,-5.08,8.4,0.06,-0.31,-0.06,-4.19,36.38,4.38,359.94,2.69,31.75
11617,0.48,-5.09,8.3,-0.56,0.56,-0.12,-4.19,36.38,4.38,359.94,2.69,31.75
11636,0.47,-5.12,8.33,-0.94,1.37,0.06,-4.19,36.38,4.38,0.0,2.69,31.75
11657,0.46,-5.14,8.31,-0.5,0.5,0.0,-4.19,36.75,4.75,0.0,2.63,31.75
11677,0.48,-5.11,8.28,-0.31,0.12,0.0,-4.19,36.75,4.75,0.0,2.63,31.75
11697,0.47,-5.13,8.3,-0.19,0.19,0.06,-5.25,38.25,5.56,0.0,2.63,31.75
11717,0.44,-5.12,8.25,-0.19,0.56,0.19,-5.25,38.25,5.56,0.0,2.63,31.75
11737,0.46,-5.11,8.32,0.37,-0.44,0.0,-4.19,37.88,4.0,0.0,2.63,31.75
11757,0.46,-5.12,8.33,0.56,-0.56,0.06,-4.19,37.88,4.0,0.0,2.63,31.75
11778,0.5,-5.12,8.33,-0.12,0.44,-0.06,-4.19,37.88,4.0,0.0,2.69,31.75
11798,0.43,-5.12,8.32,-0.37,0.69,0.0,-3.75,36.75,4.38,0.0,2.63,31.75
