Roll,Pitch,Yaw
-0.235778,-0.220526,180.195
-0.218053,-0.219855,180.208
-0.235474,-0.22682,180.219
-0.254431,-0.232331,180.229
-0.235213,-0.233523,180.217
-0.25498,-0.235248,180.227
-0.27503,-0.234861,180.236
-0.295117,-0.23311,180.246
-0.31534,-0.236575,180.234
-0.296373,-0.23938,180.223
-0.277622,-0.241399,180.21
-0.2597,-0.246357,180.197
-0.279854,-0.247741,180.186
-0.299954,-0.250792,180.174
-0.285956,-0.26597,180.162
-0.295843,-0.251518,180.173
-0.307895,-0.240216,180.186
-0.324515,-0.235015,180.199
-0.308717,-0.240957,180.183
-0.290571,-0.243976,180.194
-0.305487,-0.23126,180.202
-0.302838,-0.251645,180.189
-0.302616,-0.272186,180.177
-0.300689,-0.255686,180.189
-0.300322,-0.251198,180.21
-0.309934,-0.24618,180.229
-0.304021,-0.23636,180.247
-0.316556,-0.250678,180.234
-0.30019,-0.242833,180.221
-0.318393,-0.251208,180.233
-0.338625,-0.255992,180.242
-0.359287,-0.256603,180.252
-0.379917,-0.255663,180.262
-0.39938,-0.261146,180.252
-0.380513,-0.258702,180.241
-0.399104,-0.266847,180.231
-0.416921,-0.256812,180.241
-0.39984,-0.248514,180.231
-0.383121,-0.241936,180.22
-0.363842,-0.242097,180.229
-0.385396,-0.239811,180.237
-0.406633,-0.235838,180.246
-0.389707,-0.245269,180.236
-0.406347,-0.234069,180.225
-0.418024,-0.217993,180.214
-0.431493,-0.202631,180.203
-0.440846,-0.18473,180.192
-0.44269,-0.204798,180.183
-0.443109,-0.183991,180.192
-0.453702,-0.200232,180.202
-0.466701,-0.214718,180.212
-0.452552,-0.199697,180.202
-0.443548,-0.180422,180.21
-0.435349,-0.160749,180.219
-0.420041,-0.14642,180.209
-0.436106,-0.157929,180.218
-0.453079,-0.169234,180.21
-0.432639,-0.163723,180.217
-0.411606,-0.161473,180.225
-0.391521,-0.162334,180.235
-0.37155,-0.16398,180.223
-0.350383,-0.166013,180.214
-0.36818,-0.156883,180.222
-0.347002,-0.158631,180.23
-0.366421,-0.154043,180.238
-0.346689,-0.159754,180.227
-0.366676,-0.16152,180.218
-0.345575,-0.159706,180.226
-0.325353,-0.162221,180.215
-0.304306,-0.159952,180.223
-0.323112,-0.164179,180.212
-0.302905,-0.163693,180.201
-0.283151,-0.159267,180.211
-0.262172,-0.160726,180.202
-0.282103,-0.163914,180.192
-0.261156,-0.164845,180.183
-0.240859,-0.159875,180.191
-0.259438,-0.164613,180.202
-0.276539,-0.174226,180.192
-0.294782,-0.179611,180.203
-0.275157,-0.176943,180.192
-0.295138,-0.176469,180.201
-0.314276,-0.175144,180.211
-0.332734,-0.181387,180.2
-0.312306,-0.177744,180.19
-0.330928,-0.183284,180.201
-0.310757,-0.178748,180.208
-0.293077,-0.174329,180.22
-0.28256,-0.159961,180.233
-0.262752,-0.15688,180.222
-0.282548,-0.161464,180.212
-0.262562,-0.156115,180.22
-0.281491,-0.159104,180.23
-0.29971,-0.165731,180.22
-0.278581,-0.162272,180.229
-0.256822,-0.163143,180.22
-0.275429,-0.167562,180.211
-0.253646,-0.165766,180.203
-0.233723,-0.160073,180.213
-0.252786,-0.158241,180.224
-0.231946,-0.160662,180.215
-0.21123,-0.163671,180.207
-0.230206,-0.157465,180.216
-0.21161,-0.164461,180.228
-0.226109,-0.151666,180.217
-0.213524,-0.167312,180.228
-0.205513,-0.185344,180.239
-0.209604,-0.165896,180.229
-0.209918,-0.185764,180.221
-0.203374,-0.166634,180.232
-0.193234,-0.149851,180.222
-0.182183,-0.13315,180.233
-0.168467,-0.119187,180.223
-0.184331,-0.131071,180.234
-0.201526,-0.140932,180.244
-0.183851,-0.132947,180.234
-0.16683,-0.123139,180.244
-0.184245,-0.132164,180.256
-0.166096,-0.125041,180.245
-0.148367,-0.116612,180.255
-0.167442,-0.122746,180.265
-0.186852,-0.128155,180.255
-0.166623,-0.128299,180.265
-0.148099,-0.136081,180.275
-0.130648,-0.146604,180.284
-0.11329,-0.156707,180.294
-0.132163,-0.150142,180.284
-0.113246,-0.156415,180.294
-0.133281,-0.153303,180.303
-0.153665,-0.152461,180.312
-0.134087,-0.153223,180.302
-0.154223,-0.156017,180.292
-0.134457,-0.155503,180.301
-0.114971,-0.155774,180.311
-0.135233,-0.155161,180.322
-0.155886,-0.156503,180.312
-0.176252,-0.15709,180.322
-0.197,-0.157783,180.331
-0.217774,-0.159697,180.322
-0.198533,-0.159263,180.331
-0.21941,-0.160297,180.321
-0.200242,-0.160247,180.331
-0.180816,-0.163056,180.32
-0.161362,-0.16545,180.31
-0.141983,-0.16828,180.299
-0.162646,-0.164915,180.308
-0.17406,-0.168859,180.326
-0.193539,-0.170327,180.313
-0.175861,-0.16781,180.3
-0.195508,-0.170396,180.311
-0.215938,-0.173267,180.321
-0.235961,-0.178039,180.331
-0.255072,-0.186271,180.32
-0.236082,-0.186268,180.309
-0.21833,-0.189162,180.296
-0.238046,-0.188586,180.307
-0.218905,-0.187698,180.318
-0.238648,-0.187646,180.329
-0.220163,-0.189905,180.317
-0.240193,-0.192477,180.328
-0.221275,-0.191897,180.317
-0.202916,-0.187009,180.328
-0.182736,-0.187423,180.319
-0.202184,-0.193541,180.31
-0.222113,-0.196159,180.3
-0.241322,-0.191553,180.31
-0.221976,-0.198937,180.302
-0.240918,-0.191274,180.311
-0.223828,-0.202705,180.303
-0.239851,-0.190831,180.313
-0.222371,-0.199788,180.323
-0.208383,-0.214123,180.314
-0.201823,-0.232637,180.303
-0.196411,-0.250832,180.314
-0.196292,-0.270481,180.305
-0.189402,-0.251799,180.293
-0.195012,-0.269279,180.282
-0.188613,-0.252224,180.266
-0.183683,-0.233519,180.279
-0.174857,-0.217171,180.293
-0.176432,-0.199668,180.308
-0.179187,-0.206215,180.328
-0.174842,-0.220568,180.312
-0.162493,-0.233954,180.302
-0.152759,-0.249244,180.291
-0.140909,-0.262391,180.302
-0.156739,-0.250138,180.289
