time,seconds_elapsed,relativeAltitude,pressure
1700007020030322000,-0.550677978515625,0,1015.8182525634766
1700007021039047700,0.458047607421875,0.026422500610351562,1015.8148193359375
1700007022047764700,1.4667646484375,0.05284690856933594,1015.8114624023438
1700007023056558600,2.47555859375,0.06870079040527344,1015.8097076416016
1700007024065361700,3.484361572265625,0.0792694091796875,1015.8087158203125
1700007024412808700,3.83180859375,0.08983802795410156,1015.8071136474609
1700007025488814800,4.90781494140625,0.11626243591308594,1015.8042144775391
1700007026564790800,5.983790771484375,0.1268310546875,1015.8027648925781
1700007027640733700,7.059733642578125,0.13211631774902344,1015.8019256591797
1700007028716724700,8.135724853515624,0.1426849365234375,1015.8006286621094
1700007029792788700,9.211788818359375,0.14797019958496094,1015.8003997802734
1700007030868810800,10.287810791015625,0.14797019958496094,1015.8002471923828
1700007031944779500,11.363779541015624,0.14797019958496094,1015.8002471923828
1700007033020822800,12.43982275390625,0.14797019958496094,1015.8003997802734
1700007034096874800,13.515874755859375,0.14797019958496094,1015.8003997802734
1700007035172936700,14.591936767578124,0.13740158081054688,1015.8016967773438
1700007036248985900,15.66798583984375,0.1268310546875,1015.8031463623047
1700007037325021700,16.744021728515627,0.10569190979003906,1015.8049774169922
1700007038401094700,17.8200947265625,0.10569190979003906,1015.8049774169922
1700007039477179000,18.896178955078124,0.10569190979003906,1015.8049774169922
1700007040553227800,19.972227783203124,0.13211631774902344,1015.8020782470703
1700007041629245000,21.048244873046876,0.13211631774902344,1015.8018493652344
1700007042705267700,22.124267822265626,0.15325546264648438,1015.7994079589844
1700007043781278700,23.20027880859375,0.16382408142089844,1015.7980346679688
1700007044857270800,24.276270751953124,0.22723960876464844,1015.7905578613281
1700007045933266700,25.3522666015625,0.4280567169189453,1015.7664489746094
1700007047009307600,26.4283076171875,0.8666801452636719,1015.7137298583984
1700007048085342700,27.5043427734375,1.5008373260498047,1015.6376647949219
1700007049161367600,28.580367431640624,2.3146724700927734,1015.53955078125
1700007050237416700,29.656416748046876,3.1813526153564453,1015.4351043701172
1700007051313412600,30.73241259765625,3.942340850830078,1015.3437805175781
1700007052389375700,31.808375732421876,4.481374740600586,1015.2784729003906
1700007053465346800,32.884346923828126,4.814306259155273,1015.2384948730469
1700007054541386500,33.96038647460937,4.935853958129883,1015.2239990234375
1700007055617453800,35.036453857421876,4.935853958129883,1015.2239990234375
1700007056693531000,36.11253076171875,4.935853958129883,1015.2241516113281
1700007057769609700,37.18860961914063,4.909429550170898,1015.2269744873047
1700007058845684700,38.264684814453126,4.883007049560547,1015.230712890625
1700007059921790700,39.34079077148437,4.861867904663086,1015.2328491210938
1700007060997837800,40.416837890625,4.856584548950195,1015.2335357666016
1700007062073945900,41.49294580078125,4.856584548950195,1015.2336883544922
1700007063150057000,42.56905688476562,4.846014022827148,1015.2345275878906
1700007064226151700,43.645151611328124,4.846014022827148,1015.2345275878906
1700007065302241800,44.72124169921875,4.851299285888672,1015.2339172363281
1700007066378369800,45.797369873046875,4.856584548950195,1015.2335357666016
1700007067454494700,46.87349462890625,4.872438430786133,1015.2317810058594
1700007068530553900,47.94955395507812,4.883007049560547,1015.2302551269531
1700007069606610000,49.02560986328125,4.914714813232422,1015.2268981933594
1700007070682686700,50.10168676757812,4.920000076293945,1015.2259063720703
1700007071758740700,51.17774072265625,4.983415603637695,1015.2183532714844
1700007072834833700,52.25383374023438,5.200084686279297,1015.1921844482422
1700007073910897000,53.32989697265625,5.622856140136719,1015.1410675048828
1700007074986950700,54.40595068359375,6.2517290115356445,1015.0655364990234
1700007076063043800,55.4820439453125,7.081417083740234,1014.9658966064453
1700007077139135700,56.5581357421875,7.985090255737305,1014.8574829101562
1700007078215167700,57.63416772460938,8.74079418182373,1014.7665405273438
1700007079291255800,58.710255859375,9.279827117919922,1014.7012329101562
1700007080367373800,59.78637377929687,9.618043899536133,1014.6608734130859
1700007081443426600,60.86242651367188,9.766014099121094,1014.6431732177734
1700007082519445800,61.93844580078125,9.776582717895508,1014.6419525146484
1700007083595443700,63.01444360351562,9.776582717895508,1014.6419525146484
1700007084671476700,64.09047680664062,9.7712984085083,1014.6424102783203
1700007085747474700,65.166474609375,9.766014099121094,1014.6427917480469
1700007086823486700,66.24248681640626,9.766014099121094,1014.6427917480469
1700007087899527700,67.31852758789063,9.766014099121094,1014.6427917480469
1700007088975667700,68.39466772460938,9.766014099121094,1014.6427917480469
1700007090051728000,69.47072778320313,9.755444526672363,1014.6440124511719
1700007091127775700,70.54677563476562,9.755444526672363,1014.6440124511719
1700007092203849000,71.62284887695313,9.766014099121094,1014.6429443359375
1700007093279946800,72.69894677734375,9.766014099121094,1014.6429443359375
1700007094356088600,73.77508862304687,9.766014099121094,1014.6429443359375
1700007095432221700,74.8512216796875,9.781867980957031,1014.6410369873047
1700007096508379600,75.92737963867188,9.787152290344238,1014.6401977539062
1700007097584454700,77.00345458984376,9.797721862792969,1014.6392059326172
1700007098660487700,78.07948779296875,9.8082914352417,1014.6382904052734
1700007099736535800,79.15553588867188,9.813575744628906,1014.637451171875
1700007100812638700,80.231638671875,9.813575744628906,1014.6372985839844
1700007101888702700,81.30770263671874,9.818860054016113,1014.6369171142578
1700007102964873000,82.383873046875,9.824145317077637,1014.6363067626953
1700007104040999700,83.45999975585937,9.818860054016113,1014.6369171142578
1700007105117131800,84.5361318359375,9.8082914352417,1014.6376800537109
1700007106193268700,85.61226879882813,9.8082914352417,1014.6379089355469
1700007107269414700,86.68841455078125,9.803006172180176,1014.6388244628906
