time,seconds_elapsed,z,y,x
1700007020617306600,0.036306640625,-8.938494708561898,-4.0139141545653345,-0.4027322940584272
1700007020627251700,0.046251708984375,-8.943267914313077,-4.004010307927429,-0.39528248950913547
1700007020637196500,0.056196533203125,-8.946967937874794,-3.9965874644502994,-0.38656693934034553
1700007020647142700,0.066142578125,-8.949049420323968,-3.992845355312526,-0.37693281302191317
1700007020657087500,0.07608740234375,-8.949298426648975,-3.9932860848173495,-0.3662190747732296
1700007020667032600,0.086032470703125,-8.948232843244075,-3.9966611142084,-0.3552682033004239
1700007020676977700,0.095977783203125,-8.946537145242095,-4.0012519491299985,-0.3461776092741638
1700007020686922500,0.105922607421875,-8.94525762682557,-4.004619379736483,-0.340263782120496
1700007020696867600,0.11586767578125,-8.944547432729602,-4.006381128711999,-0.33818482042197134
1700007020706813700,0.125813720703125,-8.944303102579712,-4.00684465457052,-0.33914683385454114
1700007020716758500,0.135758544921875,-8.944720451208948,-4.005811219869554,-0.3403428387060761
1700007020726703600,0.14570361328125,-8.9458906640321,-4.003268841910362,-0.33950127331539987
1700007020736648400,0.1556484375,-8.948063331896066,-3.9987423043966293,-0.3355751859128475
1700007020746593800,0.16559375,-8.951365880572796,-3.9918858626306055,-0.3290562690054998
1700007020756539600,0.17553955078125,-8.955431814837455,-3.9833442442566156,-0.32185565344430506
1700007020766484500,0.185484375,-8.959683042541146,-3.9742862007930873,-0.3154518508166075
1700007020776429600,0.1954296875,-8.96312412290573,-3.9668315008729693,-0.31151988166254013
1700007020786374700,0.205374755859375,-8.964750847324728,-3.9632074651569127,-0.3108307668872177
1700007020796319500,0.215319580078125,-8.964072217410802,-3.9646731537953017,-0.31170977821145207
1700007020806265600,0.225265625,-8.961420826119184,-3.9704856394663453,-0.31395510945282873
1700007020816210400,0.23521044921875,-8.957378857252001,-3.9793563436642287,-0.3169656894456595
1700007020826155800,0.24515576171875,-8.952275396633148,-3.990594653776288,-0.3198444232197478
1700007020836100600,0.2551005859375,-8.946483953750134,-4.00329105374217,-0.3232208773829043
1700007020846045400,0.26504541015625,-8.940348227474093,-4.016605877867341,-0.32777737164348364
1700007020855990500,0.274990478515625,-8.933904458162187,-4.030479504919052,-0.33312202060706914
1700007020865936600,0.2849365234375,-8.927061460399628,-4.045175846530497,-0.33839046252928673
1700007020875881700,0.2948818359375,-8.919830924624204,-4.060645802862942,-0.3437323350138962
1700007020885826600,0.30482666015625,-8.911929942241311,-4.0774753571107984,-0.349408079095371
1700007020895771400,0.314771484375,-8.903312336021662,-4.095756571471691,-0.3552324743999168
1700007020905716700,0.324716796875,-8.894524633932113,-4.114288837984204,-0.361172787701711
1700007020915662600,0.33466259765625,-8.886146097165346,-4.131896098606288,-0.366374813324213
1700007020925607700,0.344607666015625,-8.878855940157175,-4.147230445860326,-0.3698352194437757
1700007020935552500,0.354552490234375,-8.873038778311013,-4.159522356678545,-0.37141127312146127
1700007020945497600,0.36449755859375,-8.868739619812368,-4.168643528506159,-0.3718248223584145
1700007020955442700,0.374442626953125,-8.865717057120799,-4.175129675655067,-0.37112105800323186
1700007020965388500,0.384388427734375,-8.863556079694629,-4.179866348788142,-0.36942722316477444
1700007020975333600,0.394333740234375,-8.861932277885078,-4.1834184883117675,-0.3681751407444477
1700007020985278700,0.40427880859375,-8.86062470241785,-4.186135638315975,-0.3687560093723237
1700007020995223600,0.4142236328125,-8.859409481409191,-4.188526040583849,-0.3708033703561872
1700007021005168600,0.424168701171875,-8.858454957163334,-4.190324322177469,-0.3732822180924937
1700007021015113500,0.434113525390625,-8.858243360239268,-4.190601093292236,-0.375202335967496
1700007021025059600,0.4440595703125,-8.85903947905302,-4.18885015797168,-0.3759607896519825
1700007021035004700,0.454004638671875,-8.860843898126483,-4.185146627278626,-0.37467199195045975
1700007021044949500,0.463949462890625,-8.863397089740634,-4.180139612771571,-0.3701524686994031
1700007021054894600,0.47389453125,-8.866728279989957,-4.17367918458581,-0.3632053164426237
1700007021064839700,0.483839599609375,-8.871039713448285,-4.165220568320155,-0.3549280480932444
1700007021074785800,0.493785888671875,-8.876333728203177,-4.154657380990684,-0.3462762108104303
1700007021084730600,0.503730712890625,-8.882420939162373,-4.142331275641918,-0.33774072991628196
1700007021094675500,0.513675537109375,-8.888947710582613,-4.128967059417069,-0.3295878916641697
1700007021104620800,0.523620849609375,-8.895243595856428,-4.116005286513269,-0.3217620934093371
1700007021114565600,0.533565673828125,-8.901097582581638,-4.103939877927303,-0.3138927482737228
1700007021124510500,0.543510498046875,-8.906331391581892,-4.093192566202581,-0.3056523596023209
1700007021134456600,0.55345654296875,-8.91073576402068,-4.084272177644074,-0.29645631417389956
1700007021144401700,0.563401611328125,-8.914269198843837,-4.077282464887202,-0.2862780345087871
1700007021154346800,0.5733466796875,-8.916713669386505,-4.072614180815219,-0.2764383574145846
1700007021164291600,0.58329150390625,-8.918075020867585,-4.070214426197111,-0.26773236052542926
1700007021174236400,0.593236328125,-8.918371373465657,-4.070142822265625,-0.258786234737467
1700007021184182500,0.6031826171875,-8.917010021984577,-4.073953904986381,-0.245383622730989
1700007021194127600,0.613127685546875,-8.91204100140035,-4.085982196432352,-0.2250763459025882
1700007021204072700,0.62307275390625,-8.901335482990742,-4.11052860866785,-0.20040524784149602
1700007021214017500,0.633017578125,-8.883585306766628,-4.149799127304553,-0.1773957445833832
1700007021223962600,0.642962646484375,-8.859211913010478,-4.202114420953393,-0.16426296249423175
1700007021233908500,0.652908447265625,-8.830639898520708,-4.26189230556786,-0.16266928182831034
1700007021243853300,0.662853271484375,-8.800260542348028,-4.323764824374019,-0.17565001516090706
1700007021253798100,0.672798095703125,-8.769569051486254,-4.384456316702067,-0.20392662690067662
1700007021263743500,0.682743408203125,-8.7387290920645,-4.443454449115693,-0.24639195952331647
1700007021273688300,0.692688232421875,-8.707031054508686,-4.50212495701015,-0.2981067665283568
1700007021283633200,0.702633056640625,-8.6711770663172,-4.566715502603352,-0.35521734989602116
