time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1700006751029262600,0.0402626953125,-1.562775371172226,0.1700329720573872,-0.6838002338234332,-0.023432133989538542,0.6851354482819035,-0.1846498305491044,0.5069560831361698
1700006751039207400,0.05020751953125,-1.5641144063082073,0.17019369415679703,-0.6841873650298353,-0.021966441755011418,0.6848710540099173,-0.18404746834386648,0.5063258607434785
1700006751049152500,0.060152587890625,-1.5653957370758949,0.16999679176021784,-0.6846442438859054,-0.020762431633515314,0.6846749342466386,-0.1832585786027944,0.504898887083489
1700006751059097600,0.07009765625,-1.5666146239230259,0.16943263821103857,-0.6851718304575845,-0.01990745691539329,0.6845344937297045,-0.1823312684253043,0.502732189785697
1700006751069043500,0.08004345703125,-1.5679056343418094,0.1685049549953563,-0.6858116521757012,-0.019458896630411202,0.6843884493255662,-0.18133100676919972,0.4999293365456933
1700006751078988500,0.089988525390625,-1.5693354536022723,0.16728877812766493,-0.6865655825738918,-0.019404247057560678,0.684194129949196,-0.18033454404066682,0.49671373093355925
1700006751088933400,0.099933349609375,-1.5709072190436122,0.16590553161024443,-0.6874039486161942,-0.019663413574816064,0.6839327692860726,-0.17940769712833338,0.49335967501794364
1700006751098878700,0.109878662109375,-1.5725313719893923,0.16443924065164425,-0.6882769443097184,-0.020214810985559304,0.68361934733417,-0.1786036444756463,0.4900672614175568
1700006751108823600,0.119823486328125,-1.5740998645183597,0.16298053935192766,-0.6891277953781018,-0.02093140779152435,0.6832928320238504,-0.17790758605974713,0.4869459328493131
1700006751118768400,0.129768310546875,-1.5755710044599611,0.16158864704430254,-0.6899291765442787,-0.021622716105660418,0.6829877906429744,-0.17724140565181823,0.4839669305562933
1700006751128714500,0.139714599609375,-1.5769426406711644,0.16032780864300203,-0.6906658552689616,-0.02204807825022518,0.6827311434508266,-0.1765042369147519,0.4810750537623158
1700006751138659600,0.14965966796875,-1.5783179926863167,0.15921118826480357,-0.6913687142490091,-0.022089444049325557,0.6825025195241988,-0.1756455555848256,0.47821567956713573
1700006751148604700,0.159604736328125,-1.5797584302866712,0.15819779316964655,-0.692067627266793,-0.021838133675044183,0.6822731944297864,-0.1746971294609081,0.47537588105303535
1700006751158549500,0.169549560546875,-1.5812276268154941,0.15732567082146098,-0.6927425496917095,-0.021346822955535406,0.6820376184684139,-0.1737270853551335,0.4727095174396461
1700006751168494300,0.179494384765625,-1.5825825625483991,0.1566345482702819,-0.6933385848811744,-0.020774544805876764,0.6818108149937375,-0.17286162096421553,0.4704568166441486
1700006751178440400,0.1894404296875,-1.5836418261732974,0.15613115970410396,-0.6937959111284154,-0.020306625479386355,0.681626878648635,-0.17220639967147042,0.46878038865044774
1700006751188385500,0.199385498046875,-1.584268236550766,0.15580025842487583,-0.6940739801920252,-0.02002936443219871,0.6815259423588216,-0.1717844096126972,0.4676905126224276
1700006751198330400,0.209330322265625,-1.5844704649656869,0.15561252253331725,-0.6941824040316212,-0.019941080171780468,0.6815131894106752,-0.17156725117357915,0.4671034386046988
1700006751208275500,0.219275390625,-1.5843443942713071,0.15546108297369815,-0.6941763343193968,-0.02016842154703368,0.6815580159719559,-0.17155084356325823,0.4668600370616962
1700006751218220500,0.229220458984375,-1.5840989043451978,0.15519865372591363,-0.6941562694266636,-0.02091408230835817,0.6815854243800517,-0.1717609615285956,0.4667879331921118
1700006751228165600,0.23916552734375,-1.5838523644042226,0.15473791956071223,-0.6941797853853877,-0.022328813483298942,0.6815471232306125,-0.17223313055937872,0.4668144792697531
1700006751238111500,0.249111572265625,-1.58366896885237,0.1541273057540699,-0.6942563828123635,-0.0242585779107852,0.6814334654447476,-0.1729202503221402,0.46694113423318745
1700006751248056300,0.259056396484375,-1.5836676912575804,0.15350205369367723,-0.6943939008708415,-0.02633614216822756,0.681229864308281,-0.17372446504101433,0.4672209023531626
1700006751258001700,0.269001708984375,-1.5838349866178696,0.1530335647984385,-0.6945500438511487,-0.02811704613184828,0.6809752765533177,-0.17450935341714297,0.4677006992069047
1700006751267946500,0.278946533203125,-1.5840886983179525,0.15282045690272236,-0.6946772861289288,-0.029205269845001904,0.6807450683198961,-0.1750873827882026,0.46824624858055186
1700006751277891300,0.288891357421875,-1.5843887948377713,0.15285735483009333,-0.6947646841804315,-0.029400226765843328,0.6805907002718354,-0.17530841681335124,0.4686281728283112
1700006751287837400,0.29883740234375,-1.5847113103498087,0.153064073104746,-0.6948228204285839,-0.028671734870852946,0.6805470591788342,-0.17506695333974065,0.46857533290730197
1700006751297782500,0.308782470703125,-1.5851014384103579,0.15334561104706815,-0.6948874841252204,-0.027119148668992215,0.6806034726511149,-0.17434304714637078,0.46792209365976867
1700006751307727600,0.3187275390625,-1.5854842755178609,0.1535394252491429,-0.69497064406115,-0.025203883282687342,0.6807467258981833,-0.17327853388564693,0.4666420664841829
1700006751317672400,0.32867236328125,-1.5858664415171158,0.1535928405618133,-0.6950860012712277,-0.02317161552113471,0.6809434182569116,-0.17199053805984724,0.4648318493805484
1700006751327617300,0.3386171875,-1.5863605534859346,0.15349461356683775,-0.6952717981060857,-0.021254837282987583,0.6811140458125939,-0.17064632024776563,0.4627223443825846
1700006751337563400,0.3485634765625,-1.5869483896238898,0.15328679005529217,-0.6955123669299302,-0.019561672421159547,0.6812363171562353,-0.16935986631773023,0.4605410147884246
1700006751347508500,0.358508544921875,-1.5876084539822795,0.1530819005386999,-0.695775551435912,-0.017935927953455073,0.6813175200303121,-0.16813325349898203,0.45845232302939126
