time,seconds_elapsed,z,y,x
1700006751005597700,0.01659765625,-165.68214416503906,53.441314697265625,32.70487976074219
1700006751015510500,0.026510498046875,-165.85507202148438,53.34898376464844,33.26307678222656
1700006751025424400,0.03642431640625,-165.80201721191406,53.53741455078125,32.68455505371094
1700006751035337500,0.04633740234375,-165.9435577392578,54.0946044921875,32.84196472167969
1700006751045251600,0.05625146484375,-165.8939971923828,53.54833984375,32.85150146484375
1700006751055164700,0.06616455078125,-165.76199340820312,53.50724792480469,33.18629455566406
1700006751065077500,0.076077392578125,-165.38938903808594,53.46002197265625,33.339996337890625
1700006751074990600,0.085990478515625,-165.71925354003906,53.75251770019531,32.86509704589844
1700006751084903400,0.0959033203125,-166.1474609375,53.72151184082031,33.10833740234375
1700006751094817300,0.1058173828125,-165.66091918945312,54.09019470214844,32.714385986328125
1700006751104729300,0.115729248046875,-165.84449768066406,54.60882568359375,32.73876953125
1700006751114641400,0.125641357421875,-165.9996795654297,54.599151611328125,32.863800048828125
1700006751124553500,0.135553466796875,-166.00390625,54.89341735839844,32.54443359375
1700006751134465500,0.145465576171875,-165.81793212890625,55.05821228027344,32.66900634765625
1700006751144377300,0.15537744140625,-166.34230041503906,55.390869140625,32.57173156738281
1700006751154289400,0.165289306640625,-165.88401794433594,55.50593566894531,32.93157958984375
1700006751164201500,0.175201416015625,-166.2125701904297,55.725494384765625,32.69566345214844
1700006751174113500,0.185113525390625,-166.2430419921875,55.6900634765625,32.93324279785156
1700006751184025600,0.195025634765625,-166.36611938476562,55.7886962890625,32.76301574707031
1700006751193937700,0.204937744140625,-166.11532592773438,55.722442626953125,32.704864501953125
1700006751203849500,0.214849365234375,-166.32672119140625,55.74150085449219,32.62583923339844
1700006751213762600,0.224762451171875,-166.1560516357422,55.71846008300781,32.58088684082031
1700006751223674600,0.234674560546875,-166.33465576171875,56.08338928222656,32.993316650390625
1700006751233587500,0.24458740234375,-166.66371154785156,55.62120056152344,32.98335266113281
1700006751243502600,0.254502685546875,-166.44361877441406,55.58628845214844,32.61767578125
1700006751253415700,0.264415771484375,-165.9614715576172,55.791259765625,32.519866943359375
1700006751263328500,0.27432861328125,-165.7761993408203,55.791259765625,32.14735412597656
1700006751273242400,0.284242431640625,-166.23861694335938,55.63606262207031,32.70098876953125
1700006751283155500,0.294155517578125,-165.83880615234375,55.51708984375,32.398193359375
1700006751293068300,0.304068359375,-166.4032440185547,55.82106018066406,32.04695129394531
1700006751302982700,0.313982666015625,-166.29019165039062,55.86793518066406,32.2406005859375
1700006751312896500,0.323896484375,-165.68919372558594,55.89837646484375,32.45393371582031
1700006751322808600,0.33380859375,-166.4292755126953,55.786895751953125,32.63768005371094
