time,seconds_elapsed,relativeAltitude,pressure
1700006750422760200,-0.56623974609375,0,1015.7830047607422
1700006751431597300,0.442597412109375,-0.0052852630615234375,1015.7839965820312
1700006752440447200,1.451447265625,0,1015.7833099365234
1700006753449311200,2.460311279296875,0,1015.7833099365234
1700006754458128100,3.469128173828125,0.1743927001953125,1015.7618713378906
1700006754805412400,3.816412353515625,0.3910636901855469,1015.7360076904297
1700006755881503200,4.892503173828125,0.4703330993652344,1015.7264709472656
1700006756957614000,5.968614013671875,0.7504196166992188,1015.6924438476562
1700006758033734400,7.044734375,1.0727825164794922,1015.6540679931641
1700006759109830100,8.120830078125,1.3687210083007812,1015.6180572509766
1700006760185964000,9.196964111328125,1.6699466705322266,1015.582275390625
1700006761262099200,10.27309912109375,1.9236087799072266,1015.5516052246094
1700006762338245000,11.3492451171875,2.129709243774414,1015.5268859863281
1700006763414336300,12.425336181640626,2.288248062133789,1015.5077362060547
1700006764490505200,13.501505126953125,2.4415035247802734,1015.4894256591797
1700006765566714400,14.57771435546875,2.594758987426758,1015.4705810546875
1700006766642912300,15.653912353515626,2.774435043334961,1015.4488372802734
1700006767719064300,16.730064208984373,2.9963912963867188,1015.4227447509766
1700006768795209200,17.806209228515623,3.2394847869873047,1015.3929901123047
1700006769871403300,18.8824033203125,3.5142860412597656,1015.3602600097656
1700006770947493400,19.958493408203125,3.7890872955322266,1015.3273773193359
1700006772023645200,21.034645263671877,4.058603286743164,1015.2947998046875
1700006773099707100,22.11070703125,4.343973159790039,1015.2604675292969
1700006774175746300,23.186746337890625,4.592351913452148,1015.2303314208984
1700006775251835100,24.262835205078126,4.787883758544922,1015.2067565917969
1700006776327863300,25.33886328125,4.941137313842773,1015.1883697509766
1700006777403951000,26.414951171875,5.046831130981445,1015.1758575439453
1700006778480015400,27.491015380859373,5.094392776489258,1015.1697540283203
1700006779556043300,28.567043212890624,5.115530967712402,1015.1671600341797
1700006780632095200,29.64309521484375,5.136670112609863,1015.164794921875
1700006781708112100,30.719112060546873,5.136670112609863,1015.164794921875
1700006782784121300,31.795121337890624,5.14195442199707,1015.1644897460938
1700006783860144000,32.87114404296875,5.136670112609863,1015.1646423339844
1700006784936200200,33.9472001953125,5.14195442199707,1015.1640319824219
1700006786012260000,35.02326000976562,5.147238731384277,1015.16357421875
1700006787088248300,36.09924829101563,5.20536994934082,1015.1566314697266
1700006788164311300,37.17531127929688,5.337486267089844,1015.1404571533203
1700006789240412200,38.251412109375,5.506594657897949,1015.1204681396484
1700006790316552200,39.32755224609375,5.733834266662598,1015.0930023193359
1700006791392575200,40.4035751953125,6.029773712158203,1015.0576782226562
1700006792468597200,41.47959716796875,6.325713157653809,1015.02197265625
1700006793544655400,42.5556552734375,6.611083984375,1014.9873352050781
1700006794620704300,43.63170434570313,6.912308692932129,1014.9515533447266
1700006795696871200,44.70787109375,7.176540374755859,1014.9193572998047
1700006796772920000,45.783920166015626,7.382641792297363,1014.8949432373047
1700006797848997000,46.8599970703125,7.551750183105469,1014.8744964599609
1700006798925056300,47.93605615234375,7.720858573913574,1014.8541259765625
1700006800001144000,49.01214404296875,7.895251274108887,1014.8332214355469
1700006801077208300,50.08820825195313,8.09078311920166,1014.8092651367188
1700006802153198300,51.1641982421875,8.333876609802246,1014.7799682617188
1700006803229180400,52.24018041992188,8.629816055297852,1014.7444152832031
1700006804305205000,53.316205078125,8.925756454467773,1014.7090148925781
1700006805381203200,54.392203125,9.221695899963379,1014.6735382080078
1700006806457203200,55.468203125,9.50706672668457,1014.6393585205078
1700006807533202200,56.5442021484375,9.766014099121094,1014.6076965332031
1700006808609223200,57.62022314453125,9.966830253601074,1014.5835876464844
1700006809685295000,58.696295166015624,10.114800453186035,1014.5658874511719
1700006810761307100,59.77230712890625,10.204639434814453,1014.5553588867188
1700006811837276200,60.84827612304687,10.241631507873535,1014.5509338378906
1700006812913201400,61.92420141601563,10.241631507873535,1014.5509338378906
1700006813989253400,63.00025341796875,10.236347198486328,1014.5512390136719
1700006815065229000,64.07622900390625,10.236347198486328,1014.5517730712891
1700006816141222100,65.15222216796874,10.225777626037598,1014.5528411865234
