time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1700006735141786000,-15.8472138671875,56.19356918334961,-1,-1,43.256802182046556,92.60356903076172,-1,37,15.608868598937988,-79.90026887417325,-1
1700006744141786000,-6.8472138671875,56.19356918334961,-1,-1,43.256802182046556,92.60356903076172,-1,37,15.608868598937988,-79.90026887417325,-1
1700006751367245000,0.3782451171875,56.192352294921875,-1,-1,43.25658339203843,91.4413070678711,-1,300.31852541750567,33.039268493652344,-79.9001738738423,-1
1700006751662785000,0.673784912109375,56.118656158447266,-1,-1,43.25688890319282,92.52865600585938,-1,35,22.296113967895508,-79.90026287959319,-1
1700006752958508000,1.969508056640625,51.43597412109375,2.9700000286102295,56.31650114083175,43.2569266995818,87.84597396850586,247.8515625,16.010981633156,16,-79.90013281822195,2.7300000190734863
1700006753012397000,2.02339697265625,55.12847900390625,3.1500000953674316,58.4339963873191,43.256921460892315,91.53847885131836,247.8515625,16.132720550696654,3,-79.90015058785667,2.740000009536743
1700006754027647000,3.03864697265625,55.12847965024412,3.333037952262661,59.79447780233487,43.256912021044776,91.53847949765623,247.85154075628373,16.13272055069594,3.000000000003832,-79.90018231795906,2.740000009536483
1700006755041451500,4.052451416015625,53.90722720697522,3.647301178593729,53.83455357227565,43.25684525945393,90.31722705438733,266.1327891108747,12.942742316055462,4.000000000001601,-79.90021095446811,2.740000009536484
1700006756021157600,5.03215771484375,55.62359679676592,1.1599999666517566,52.09123683723511,43.25684994548446,92.03359664417803,286.17185324236885,8.976403179972493,4.0000000000005365,-79.90010145294045,2.740000009536501
1700006757019699500,6.030699462890625,57.022339020855725,1.0399999618597804,54.59948720613876,43.25684111263478,93.43233886826783,249.96092799997666,5.680670766653213,4,-79.90007937472285,1.2000000476836945
1700006757999991300,7.0109912109375,58.082153362222016,1.084493001074607,-1,43.256845353211745,94.49215320963413,-1,5.035044211777732,3.9999999999999996,-79.90006702028205,0.28999999165534973
1700006758999995600,8.01099560546875,59.05603031441569,0.983869904768706,-1,43.25685117863445,95.4660301618278,-1,4.6596659871237875,6.00002229855394,-79.90006827756754,0.28999999165534973
1700006760000000000,9.011,59.58404545020312,0.8049845038871333,-1,43.25685733933328,95.99404529761523,-1,4.37281275189844,4.006350895515789,-79.9000713788717,0.23000000417232513
1700006761000006700,10.011006591796875,62.178955120034516,0.8273451623373251,-1,43.256863500032104,98.58895496744663,-1,4.1867884564446065,4.03674862405018,-79.90007095977654,0
1700006762000007700,11.011007568359375,63.60845951270312,0.8832468751028236,-1,43.2568690320882,100.01845936011523,-1,4.186788447719491,4.036748633099595,-79.90007037304332,0.23000000417232513
1700006763000010800,12.0110107421875,63.8855591211468,0.8832468751028236,-1,43.256874019320584,100.29555896855891,-1,4.597135482277118,3.56242647508374,-79.90007355816653,0
1700006764000015400,13.011015380859375,63.82220463082194,0.8049845038871333,-1,43.256877204443796,100.23220447823405,-1,4.186788457608794,4.036748622842721,-79.90007565364232,0.15000000596046448
1700006765000018200,14.01101806640625,63.62585453223437,1.1851159641004705,-1,43.25687841981975,100.03585437964648,-1,4.186788445920265,4.036748634965696,-79.90007288761427,0.2199999988079071
1700006766000016100,15.01101611328125,63.97485355660319,0.8049845038871333,-1,43.25687862936733,100.3848534040153,-1,4.186788437286324,4.036748643920547,-79.90007062450042,0.1599999964237213
1700006767000009500,16.011009521484375,63.66320804879069,0.9391485212283034,-1,43.25687733017234,100.0732078962028,-1,4.210833960311364,4.026850968564721,-79.90007020540526,0.15000000596046448
1700006768000006100,17.011006103515626,63.78277592826635,0.7300000190742204,78.65826165180724,43.25687184374066,100.19277577567846,207.4218737174337,4.210523321237267,4.026965666618688,-79.90007459159706,0.3300000131130214
1700006769000003800,18.01100390625,63.796325732022524,0.750000000000712,71.49147392930769,43.25687019200648,100.20632557943463,246.44530994712122,4.235994922789972,4.017524587130768,-79.90008222884956,0.3300000131130214
1700006770000001000,19.0110009765625,63.58789066504687,0.8944272043279197,-1,43.25686911590722,99.99789051245898,-1,4.275226189467788,4.007987553320729,-79.90008386790743,0.18000000715255737
1700006770999998500,20.01099853515625,63.17816166114062,0.9056075335530156,-1,43.25686593078402,99.58816150855273,-1,4.341437518074658,4.006881188179158,-79.9000869692116,0.23000000417232513
1700006771999996000,21.010995849609376,63.03613285161555,0.8161648331122292,-1,43.25686220083712,99.44613269902766,-1,4.2731227799844715,4.00802240962701,-79.90008998669676,0.25999999046325684
1700006772999993600,22.01099365234375,62.59863285254687,0.8832468751028236,-1,43.25685830325215,99.00863269995898,-1,4.277455292267557,4.007950577809921,-79.9000925012677,0.23000000417232513
1700006773999992300,23.010992431640624,57.73495657928288,1.2292662387855442,-1,43.25680122875728,94.14495642669499,-1,4.792223890559741,3.2953189853999394,-79.900108926817,0.29208094773396237
1700006774999990000,24.010989990234375,57.642883389256895,1.2727711274035625,-1,43.25679563017168,94.052883236669,-1,4.794717746720022,3.2916893477478872,-79.90011265027286,0.2507528419605784
1700006775999989000,25.010989013671875,57.760765969753265,1.1296695379624717,-1,43.25679362956102,94.17076581716537,-1,4.792701373679057,3.294624496892434,-79.90012220804981,0.21521494534373214
1700006776999988000,26.010988037109374,57.57797730434686,1.7816638131312017,133.8703579187647,43.25678735546626,93.98797715175897,175.99289378829832,4.792268528628205,3.295254069462397,-79.90011853477604,0.5854799424941233
1700006777999987000,27.010987060546874,57.31507158558816,1.9490618378500912,143.2332251021019,43.256783111757905,93.72507143300027,191.34257906619348,4.796672106781985,3.288840788607516,-79.90012505391392,0.5821251619136657
1700006778999985200,28.010985107421874,57.371183631010354,1.4168292321280018,-1,43.25677931656847,93.78118347842246,-1,4.797712815689061,3.287322431852674,-79.9001237275701,0.43301567015790937
1700006779999984400,29.010984375,57.00526578258723,1.8157273545608565,-1,43.25678833184385,93.41526562999934,-1,4.872679822910089,3.175142260780411,-79.9001210314098,0.4242733257320557
1700006780999983000,30.010983154296873,57.04981694370508,1.756532920328678,-1,43.25679696962541,93.45981679111719,-1,5.161605530064087,3.145019825384015,-79.90012501561378,0.2704089166741176
1700006781999982800,31.01098291015625,57.03132107388228,1.2615939115233596,-1,43.25680091003602,93.44132092129439,-1,4.861358298050834,3.19244929963831,-79.90011503071041,0.1493729447049391
1700006782999980800,32.01098071289063,57.26088582538068,1.3381046242720276,-1,43.25680031645655,93.67088567279279,-1,4.83258521472703,3.235839485387145,-79.90012096225273,0.46819007743000707
