time,Acc_z,Acc_y,Acc_x,Gyro_z,Gyro_y,Gyro_x,Mag_z,Mag_y,Mag_x
1700006751029262600,0.9276900149464606,0.314827873699367,-0.1428467563095502,-0.1171053349971771,0.0920275226235389,-0.0249845180660486,-65.7630386352539,-10.4501953125,-3.632282257080078
1700006751039207400,1.056369586351514,0.3336652606382966,-0.028301033794973,-0.1147614866495132,0.0714332982897758,-0.1025916934013366,-65.8013687133789,-10.23305892944336,-3.676231384277344
1700006751049152500,1.1290572214215993,0.3522477960333228,0.0560871403377503,-0.104916863143444,0.045500248670578,-0.1839657872915268,-65.82076263427734,-10.31317901611328,-3.7322921752929688
1700006751059097600,1.0888847855091095,0.3231652016729116,0.0733455327232368,-0.1027852743864059,0.0071946745738387,-0.2519746720790863,-65.73184967041016,-10.365379333496094,-3.508739471435547
1700006751069043500,0.955972106578946,0.3042982963785529,0.0456570413360372,-0.1144533604383468,-0.041204035282135,-0.3069634735584259,-65.43999481201172,-10.414020538330078,-3.3351593017578125
1700006751078988500,0.7301338911920785,0.2878217933520675,-0.012729918642994,-0.1276969909667968,-0.084725946187973,-0.337024450302124,-65.59290313720703,-10.218616485595703,-3.6254959106445312
1700006751088933400,0.4133680351674556,0.2726449747473001,-0.050740500346478,-0.1354665458202362,-0.1190568208694458,-0.3401352763175964,-65.94275665283203,-10.185184478759766,-3.5341148376464844
1700006751098878700,0.1201110650241374,0.2561538586735725,-0.0622804968188516,-0.136790931224823,-0.1425895690917968,-0.3269819319248199,-65.69426727294922,-9.911914825439451,-3.789936065673828
1700006751108823600,-0.0956476548969745,0.2425917817890644,-0.0512916496895253,-0.1276948899030685,-0.1474130898714065,-0.3074524402618408,-65.75487518310547,-9.463115692138672,-3.845302581787109
1700006751118768400,-0.2163712988615035,0.2368044305592775,-0.0052033773293718,-0.1195432171225547,-0.1259243041276931,-0.2952501177787781,-65.88314056396484,-9.342304229736328,-3.7716140747070312
1700006751128714500,-0.2487853757321834,0.2176683529347181,-0.0157367540424689,-0.1148001253604888,-0.0884013548493385,-0.2894274890422821,-65.92266082763672,-9.097408294677734,-3.979114532470703
