time,seconds_elapsed,z,y,x
1700006751029262600,0.0402626953125,-65.7630386352539,-10.4501953125,-3.632282257080078
1700006751039207400,0.05020751953125,-65.8013687133789,-10.23305892944336,-3.6762313842773438
1700006751049152500,0.060152587890625,-65.82076263427734,-10.313179016113281,-3.7322921752929688
1700006751059097600,0.07009765625,-65.73184967041016,-10.365379333496094,-3.508739471435547
1700006751069043500,0.08004345703125,-65.43999481201172,-10.414020538330078,-3.3351593017578125
1700006751078988500,0.089988525390625,-65.59290313720703,-10.218616485595703,-3.6254959106445312
1700006751088933400,0.099933349609375,-65.94275665283203,-10.185184478759766,-3.5341148376464844
1700006751098878700,0.109878662109375,-65.69426727294922,-9.911914825439453,-3.789936065673828
1700006751108823600,0.119823486328125,-65.75487518310547,-9.463115692138672,-3.8453025817871094
1700006751118768400,0.129768310546875,-65.88314056396484,-9.342304229736328,-3.7716140747070312
1700006751128714500,0.139714599609375,-65.92266082763672,-9.097408294677734,-3.979114532470703
1700006751138659600,0.14965966796875,-65.80086517333984,-8.909812927246094,-3.9490509033203125
1700006751148604700,0.159604736328125,-66.1413345336914,-8.61844253540039,-4.0100860595703125
1700006751158549500,0.169549560546875,-65.9103775024414,-8.453197479248047,-3.7700233459472656
1700006751168494300,0.179494384765625,-66.0796890258789,-8.249099731445312,-3.870471954345703
1700006751178440400,0.1894404296875,-66.1496810913086,-8.216358184814453,-3.7290992736816406
1700006751188385500,0.199385498046875,-66.25765228271484,-8.136478424072266,-3.8106422424316406
1700006751198330400,0.209330322265625,-66.10897064208984,-8.161140441894531,-3.8754501342773438
1700006751208275500,0.219275390625,-66.2178726196289,-8.154525756835938,-3.950428009033203
1700006751218220500,0.229220458984375,-66.12677764892578,-8.169124603271484,-4.003929138183594
1700006751228165600,0.23916552734375,-66.22863006591797,-7.912212371826172,-3.7241058349609375
1700006751238111500,0.249111572265625,-66.4930191040039,-8.16973876953125,-3.651592254638672
1700006751248056300,0.259056396484375,-66.41080474853516,-8.268009185791016,-3.892559051513672
1700006751258001700,0.269001708984375,-66.04248809814453,-8.149345397949219,-4.031108856201172
1700006751267946500,0.278946533203125,-65.80512237548828,-8.115570068359375,-4.3370361328125
